run_id,batch,candidate,case,diagnostic,request_id,status,start_ms,end_ms,elapsed_ms,request_body_bytes,http_proto,tls_alpn,connection_id,got_conn_reused,ttfb_ms,first_event_ms,completion_ms,response_body_bytes,event_bytes,done,cancel_acknowledged,expected_events,received_events,payload_bytes,complete,arrival_gap_ms_n,arrival_gap_ms_min,arrival_gap_ms_p50,arrival_gap_ms_p95,arrival_gap_ms_max,emission_gap_ms_n,emission_gap_ms_min,emission_gap_ms_p50,emission_gap_ms_p95,emission_gap_ms_max,max_active_handlers
measure-01,1,gvisor,fresh-h2-c8,False,req-1789342962222014061-6,PASS,55.14706,30056.771445,30001.62442,4164,HTTP/2.0,h2,177,True,1.118564,51.811184,30001.623654,121409,128,True,False,600,600,76800,True,599,47.84825500000079,50.048315,50.76515999999992,52.57147400000031,599,48.88914400000067,50.03804500000024,50.733314000000064,51.115121999999246,8
measure-01,1,gvisor,fresh-h2-c8,False,req-1789342962222248767-7,PASS,55.381809,30056.740429,30001.358705,4164,HTTP/2.0,h2,177,True,0.998974,51.57113,30001.317135,121416,128,True,False,600,600,76800,True,599,47.84309499999654,50.0116280000002,50.64143200000035,52.57434299999932,599,49.04642600000079,50.04490500000247,50.508082999999715,51.15010100000001,8
measure-01,1,gvisor,postburst-h1-c1,False,req-1789342992987284685-0,PASS,54.5515,30056.221314,30001.669848,4164,HTTP/1.1,http/1.1,281,True,0.881934,51.290079,30001.668407,121424,128,True,False,600,600,76800,True,599,46.95701300000292,50.29340199999933,50.43987299999935,52.624448999999004,599,49.16445999999996,50.30062700000008,50.429441000000224,50.609284000001935,1
measure-01,1,gvisor,hy2-correctness-h1,False,req-1789343023323727843-0,PASS,56.568194,30058.721438,30002.153281,4164,HTTP/1.1,http/1.1,284,True,1.092655,51.613709,30002.151707,121402,128,True,False,600,600,76800,True,599,49.088777000000846,50.250880999999936,50.44800099999884,50.802356999996846,599,49.152233000000706,50.279325999999855,50.388677999999345,50.47821300000032,1
measure-01,1,gvisor,hy2-correctness-h2,False,req-1789343053943044549-0,PASS,57.623658,30059.8319,30002.208301,4164,HTTP/2.0,h2,289,True,1.149298,51.857532,30002.203195,121423,128,True,False,600,600,76800,True,599,48.62112100000013,50.238335999999435,50.404898999999205,51.70568800000183,599,49.13571800000136,50.252315999998245,50.37400100000002,51.02447000000029,1
measure-01,1,go,fresh-h1-c1,False,req-1789343114868378688-0,PASS,56.994748,30058.114243,30001.11953,4164,HTTP/1.1,http/1.1,296,True,0.75751,51.424358,30001.118022,121414,128,True,False,600,600,76800,True,599,49.13132100000075,50.25947599999972,50.42211999999927,50.867841999999655,599,49.155189999997674,50.27667400000064,50.402234999997745,50.565677000002324,1
measure-01,1,go,fresh-h1-c8,False,req-1789343145198402949-0,PASS,61.656624,30064.787933,30003.131344,4164,HTTP/1.1,http/1.1,314,True,2.604355,53.128263,30003.130615,121432,128,True,False,600,600,76800,True,599,45.228016000000935,49.701138999997056,50.69869800000015,55.197995999998966,599,49.35074800000075,49.69861299999684,50.66155599999911,50.87557899999956,8
measure-01,1,go,fresh-h1-c8,False,req-1789343145198458525-1,PASS,61.712236,30064.818623,30003.10642,4164,HTTP/1.1,http/1.1,313,True,2.528422,53.062695,30003.105883,121413,128,True,False,600,600,76800,True,599,45.235671000000366,49.69149300000208,50.706498999999894,55.178632999999536,599,49.316594000000805,49.65175099999942,50.69985100000031,51.023585999999796,8
measure-01,1,go,fresh-h1-c8,False,req-1789343145198534144-2,PASS,61.787846,30064.855804,30003.067993,4164,HTTP/1.1,http/1.1,310,True,2.29965,53.002342,30003.067375,121428,128,True,False,600,600,76800,True,599,49.258491999997204,49.63200399999914,50.74386700000014,51.11736999999994,599,49.29818499999965,49.614417000000685,50.729797999999846,51.167317000001276,8
measure-01,1,go,fresh-h1-c8,False,req-1789343145198171488-3,PASS,61.42516,30062.630226,30001.205101,4164,HTTP/1.1,http/1.1,309,True,0.934299,51.183309,30001.204246,121423,128,True,False,600,600,76800,True,599,47.74909699999989,49.70742800000153,50.65545900000143,52.702352000000246,599,49.13397200000054,49.68315900000016,50.63625800000227,51.06560999999783,8
