run_id,batch,candidate,case,diagnostic,status,requested_streams,recorded_streams,missing_streams,complete_streams,timeout_streams,failed_streams,event_count,payload_bytes,response_body_bytes,stream_seconds,window_ms,cancel_verified,client_cpu_ms,client_rss_max_kib,server_cpu_ms,server_rss_max_kib,fixture_cpu_ms,fixture_rss_max_kib,client_idle_adjusted_cpu_ms,client_cpu_ms_per_stream_second,client_idle_adjusted_cpu_ms_per_stream_second,client_cpu_ms_per_event,client_idle_adjusted_cpu_ms_per_event,client_cpu_ms_per_payload_mib,client_idle_adjusted_cpu_ms_per_payload_mib
measure-02,2,gvisor,fresh-h2-c8,False,PASS,8,8,0,8,0,0,4800,614400,971329,240.01309707299998,30074.820338,,370.0,41684,120.0,44496,340.0,13360,370.0,1.5415825407538677,1.5415825407538677,0.07708333333333334,0.07708333333333334,631.4666666666667,631.4666666666667
measure-02,2,gvisor,fresh-h2-c1,False,PASS,1,1,0,1,0,0,600,76800,121424,30.001377803,30064.469016,,220.0,40560,100.0,44496,210.0,13360,220.0,7.332996552511698,7.332996552511698,0.36666666666666664,0.36666666666666664,3003.733333333333,3003.733333333333
measure-02,2,gvisor,fresh-h1-c8,False,PASS,8,8,0,8,0,0,4800,614400,971346,240.01162365899998,30078.814654,,360.0,43608,180.0,44496,250.0,13948,360.0,1.499927355649555,1.499927355649555,0.075,0.075,614.4,614.4
measure-02,2,gvisor,fresh-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121420,30.001606399,30064.192668,,190.0,40788,90.0,44540,200.0,13796,190.0,6.332994222813782,6.332994222813782,0.31666666666666665,0.31666666666666665,2594.133333333333,2594.133333333333
measure-02,2,gvisor,idle,False,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.469537,,0.0,40176,0.0,44540,0.0,13796,0.0,,,,,,
measure-02,2,mihomo,postburst-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121434,30.002449186000003,30064.770157,,1180.0,70056,90.0,44532,220.0,13868,1149.9363932735146,39.330122440491344,38.32808402222401,1.9666666666666666,1.9165606554558576,16110.933333333332,15700.464889494386
measure-02,2,mihomo,fresh-h2-c8,False,PASS,8,8,0,8,0,0,4800,614400,971386,240.011745448,30074.781291,,1230.0,41252,160.0,44532,380.0,13720,1199.9263825269202,5.124749198019924,4.999448590681124,0.25625,0.2499846630264417,2099.2,2047.8743595126105
measure-02,2,mihomo,fresh-h2-c1,False,PASS,1,1,0,1,0,0,600,76800,121418,30.002382155,30065.497583,,1100.0,41456,100.0,44532,200.0,13720,1069.9356658756642,36.66375537506048,35.66169047337982,1.8333333333333333,1.7832261097927737,15018.666666666666,14608.188291422402
measure-02,2,mihomo,fresh-h1-c8,False,PASS,8,8,0,8,0,0,4800,614400,971337,240.01587345199997,30081.67952,,1500.0,45756,210.0,45020,270.0,14224,1469.9194845648642,6.249586656192472,6.124259464275928,0.3125,0.3062332259510134,2560.0,2508.6625869907016
measure-02,2,mihomo,fresh-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121430,30.001709451,30065.913783,,1140.0,40824,110.0,45284,240.0,13948,1109.93524969177,37.99783481877571,36.995733576600394,1.9,1.8498920828196166,15564.8,15154.3159424583
measure-02,2,mihomo,idle,False,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.160969,,30.0,40204,0.0,45284,0.0,13948,0.0,,,,,,
profile-01,1,mihomo,idle,True,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.226771,,20.0,39408,10.0,37652,0.0,7816,-3.552713678800501e-15,,,,,,
profile-01,1,mihomo,fresh-h1-c1,True,PASS,1,1,0,1,0,0,600,76800,121408,30.00247413,30065.934563,,1070.0,41136,90.0,38892,230.0,8692,1049.9568632359644,35.66372544356561,34.99567597947178,1.7833333333333334,1.749928105393274,14609.066666666668,14335.4110393817
profile-01,1,mihomo,burst,True,PASS,0,0,0,0,0,0,0,0,0,0.0,524.180051,,400.0,71972,150.0,43496,160.0,13720,399.6505609220576,,,,,,
profile-01,1,gvisor,idle,True,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.731535,,10.0,41204,0.0,43496,0.0,13160,0.0,,,,,,
profile-01,1,gvisor,fresh-h1-c1,True,PASS,1,1,0,1,0,0,600,76800,121435,30.002201979000002,30066.109994,,260.0,41940,110.0,43496,280.0,13160,249.97854175219024,8.666030586087869,8.332006494962014,0.43333333333333335,0.41663090292031707,3549.866666666667,3413.0403567232374
profile-01,1,gvisor,burst,True,PASS,0,0,0,0,0,0,0,0,0,0.0,439.527406,,310.0,49408,120.0,45268,150.0,13368,309.8534993203685,,,,,,
profile-01,1,go,idle,True,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.202175,,30.0,38672,0.0,45268,0.0,13368,0.0,,,,,,
profile-01,1,go,fresh-h1-c1,True,PASS,1,1,0,1,0,0,600,76800,121425,30.001493384,30066.084548,,1070.0,40220,110.0,45268,240.0,13368,1039.9351202268947,35.664891287399655,34.662778512935596,1.7833333333333334,1.7332252003781579,14609.066666666668,14198.58084149787
profile-01,1,go,burst,True,PASS,0,0,0,0,0,0,0,0,0,0.0,371.857725,,120.0,47604,120.0,45268,140.0,13312,119.62815717567157,,,,,,
