candidate,case,elapsed_ms,end_ns,http_status,kernel_connect_ms,port,received_bytes,requested_bytes,round,start_ns,status,ttfb_ms,worker_exit_code
gvisor,short,16.004561,5760717961353,200,15.27664,18080,4096,4096,1,5760701956792,PASS,15.859123,
gvisor,short,17.407912,5760719534688,200,16.205278,18080,4096,4096,1,5760702126776,PASS,17.357844,
gvisor,short,11.09929,5760713471382,200,10.395587,18080,4096,4096,1,5760702372092,PASS,11.054248,
gvisor,short,20.510599,5760723052052,200,19.273756,18080,4096,4096,1,5760702541453,PASS,20.433322,
gvisor,short,18.978654,5760721711236,200,17.870511,18080,4096,4096,1,5760702732582,PASS,18.83159,
gvisor,short,22.40033,5760725371827,200,21.180832,18080,4096,4096,1,5760702971497,PASS,22.197207,
gvisor,short,22.61512,5760725778845,200,21.952181,18080,4096,4096,1,5760703163725,PASS,22.499982,
gvisor,short,23.799333,5760727155958,200,23.082404,18080,4096,4096,1,5760703356625,PASS,23.711505,
gvisor,short,24.739066,5760728286845,200,23.909194,18080,4096,4096,1,5760703547779,PASS,24.703023,
gvisor,short,20.190992,5760723959167,200,19.157946,18080,4096,4096,1,5760703768175,PASS,20.151625,
gvisor,short,16.13217,5760720110679,200,15.37678,18080,4096,4096,1,5760703978509,PASS,15.965607,
gvisor,short,18.921759,5760729886182,200,17.892733,18080,4096,4096,1,5760710964423,PASS,18.802604,
gvisor,short,19.19971,5760730803429,200,18.457501,18080,4096,4096,1,5760711603719,PASS,19.116684,
gvisor,short,19.565382,5760732120730,200,18.610694,18080,4096,4096,1,5760712555348,PASS,19.503741,
gvisor,short,19.893669,5760733387601,200,19.047332,18080,4096,4096,1,5760713493932,PASS,19.702837,
gvisor,short,19.567627,5760734628747,200,18.708706,18080,4096,4096,1,5760715061120,PASS,19.426748,
gvisor,short,18.659874,5760735798390,200,17.902431,18080,4096,4096,1,5760717138516,PASS,18.586638,
gvisor,short,19.510568,5760737507832,200,18.149269,18080,4096,4096,1,5760717997264,PASS,19.304805,
gvisor,short,18.482223,5760738059209,200,17.664012,18080,4096,4096,1,5760719576986,PASS,18.242345,
gvisor,short,19.950851,5760740077881,200,18.342215,18080,4096,4096,1,5760720127030,PASS,19.618091,
